Milestone,Build Tag,Release Date
1.0.0,51,2006-10-03
1.0.1,759,2006-11-28
1.1.0,1311,2007-01-05
1.1.0M1,761,2006-11-28
1.1.0M2,864,2006-12-06
1.1.0M3,1021,2006-12-13
1.1.0RC1,1213,2006-12-27
2.0.0,3134,2007-04-18
2.0.0M1,2188,2007-02-27
2.0.0M2,2461,2007-03-14
2.0.0M3,2704,2007-03-27
2.0.0RC1,2928,2007-04-04
2.0.1,3462,2007-05-15
2.0.2,3513,2007-05-21
2.0.3,3791,2007-06-12
2.1.0,4515,2007-07-11
2.1.0M1,3483,2007-05-16
2.1.0M2,3967,2007-06-21
2.1.0RC1,4264,2007-07-04
2.1.1,4583,2007-07-15
2.1.2,5184,2007-08-14
2.1.3,5286,2007-08-22
2.1.4,5618,2007-09-17
2.2.0,6191,2007-10-08
2.2.0M1,5127,2007-08-10
2.2.0M2,5454,2007-09-03
2.2.0RC1,5798,2007-09-21
2.2.1,6584,2007-10-26
2.2.2,7074,2007-11-16
2.2.3,7292,2007-11-29
2.2.4,7943,2008-01-07
2.3.0,8623,2008-02-05
2.3.0M1,7019,2007-11-15
2.3.0M2,7640,2007-12-18
2.3.0RC1,8112,2008-01-15
2.3.0RC2,8292,2008-01-22
2.3.0RC3,8443,2008-01-29
2.3.1,11695,2008-02-25
2.3.2,12698,2008-03-25
2.3.3,13873,2008-05-07
2.4.0,14858,2008-06-06
2.4.0M1,13097,2008-04-08
2.4.0M2,13443,2008-04-21
2.4.0RC1,13964,2008-05-09
2.4.0RC2,14257,2008-05-21
2.4.0RC3,14571,2008-05-30
2.4.1,16077,2008-07-09
2.4.2,17347,2008-08-28
2.4.3,19058,2008-10-17
2.4.4,20534,2008-12-08
3.0.0,18993,2008-10-15
3.0.0M1,16339,2008-07-21
3.0.0M2,16767,2008-08-05
3.0.0M3,17341,2008-08-28
3.0.0RC1,17920,2008-09-17
3.0.1,19980,2008-11-10
3.0.2,20205,2008-11-19
3.0.3,21383,2009-01-30
3.0.4,22547,2009-03-18
3.0.5,24802,2009-05-18
3.1.0,24382,2009-05-05
3.1.0M1,22164,2009-02-26
3.1.0M2,22765,2009-03-18
3.1.0M3,22953,2009-03-23
3.1.0RC1,23203,2009-04-01
